id,team_name,fifa_code,group_letter,is_placeholder
1,México,MEX,A,False
2,Sudáfrica,RSA,A,False
3,Corea del Sur,KOR,A,False
4,Chequia,CZE,A,False
5,Canadá,CAN,B,False
6,Bosnia y Herzegovina,BIH,B,False
7,Qatar,QAT,B,False
8,Suiza,SUI,B,False
9,Brasil,BRA,C,False
10,Marruecos,MAR,C,False
11,Haití,HAI,C,False
12,Escocia,SCO,C,False
13,Estados Unidos,USA,D,False
14,Paraguay,PAR,D,False
15,Australia,AUS,D,False
16,Turquía,TUR,D,False
17,Alemania,GER,E,False
18,Curazao,CUR,E,False
19,Costa de Marfil,CIV,E,False
20,Ecuador,ECU,E,False
21,Países Bajos,NED,F,False
22,Japón,JPN,F,False
23,Suecia,SWE,F,False
24,Túnez,TUN,F,False
25,Bélgica,BEL,G,False
26,Egipto,EGY,G,False
27,Irán,IRN,G,False
28,Nueva Zelanda,NZL,G,False
29,España,ESP,H,False
30,Cabo Verde,CPV,H,False
31,Arabia Saudita,KSA,H,False
32,Uruguay,URU,H,False
33,Francia,FRA,I,False
34,Senegal,SEN,I,False
35,Irak,IRQ,I,False
36,Noruega,NOR,I,False
37,Argentina,ARG,J,False
38,Argelia,ALG,J,False
39,Austria,AUT,J,False
40,Jordania,JOR,J,False
41,Portugal,POR,K,False
42,RD Congo,COD,K,False
43,Uzbekistán,UZB,K,False
44,Colombia,COL,K,False
45,Inglaterra,ENG,L,False
46,Croacia,CRO,L,False
47,Ghana,GHA,L,False
48,Panamá,PAN,L,False
